Player
playerid,name,position,born,height,weight,yearspro,team
383,Marcus Camby,Center - Forward,1974-3-22,6-1/ 2,11,235 lbs./106,6 kg.,11,DEN
384,Rodney Carney,Forward,1984-4-15,6-6/1,98,204 lbs./92,5  kg.,1,PHI
385,Matt Carroll,Forward - Guard,1980-8-28,6-6/1,98,212 lbs./96,2  kg.,4,CHA
386,Vince Carter,Guard - Forward,1977-1-26,6-6/1,98,220 lbs./99,8  kg.,9,NJN
387,Sam Cassell,Guard,1969-11-18,6-3/1,91,185 lbs./83,9  kg.,14,LAC
388,Tyson Chandler,Center,1982-10-2,7-1/2,16,235 lbs./106,6 kg.,6,NOH
389,Josh Childress,Guard - Forward,1983-6-20,6-8/2,03,210 lbs./95,3  kg.,3,ATL
390,Jarron Collins,Center,1978-12-2,6-1/ 2,11,239 lbs./108,4 kg.,6,UTA
391,Jason Collins,Center - Forward,1978-12-2,7-0/2,13,255 lbs./115,7 kg.,6,NJN
392,Nick Collison,Center - Forward,1980-10-26,6-1/ 2,08,255 lbs./115,7 kg.,3,SEA
393,Brian Cook,Forward,1980-12-4,6-9/2,06,250 lbs./113,4 kg.,4,LAL
394,Daequan Cook,Guard,1987-4-28,6-5/1,96,205 lbs./93,0  kg.,0,MIA
395,Jamal Crawford,Guard,1980-3-20,6-5/1,96,200 lbs./90,7  kg.,7,NYK
396,Javaris Crittenton,Guard,1987-12-31,6-5/1,96,200 lbs./90,7  kg.,0,LAL
397,Austin Croshere,Forward,1975-5-1,6-1/ 2,08,235 lbs./106,6 kg.,10,GSW
398,Eddy Curry,Center - Forward,1982-12-5,6-1/ 2,11,285 lbs./129,3 kg.,6,NYK
399,Samuel Dalembert,Center,1981-5-10,6-1/ 2,11,250 lbs./113,4 kg.,5,PHI
400,Antonio Daniels,Guard,1975-3-19,6-4/1,93,205 lbs./93,0  kg.,10,WAS
401,Marquis Daniels,Guard,1981-1-7,6-6/1,98,200 lbs./90,7  kg.,4,IND
402,Baron Davis,Guard,1979-4-13,6-3/1,91,215 lbs./97,5  kg.,8,GSW
403,Glen Davis,Forward,1986-1-1,6-9/2,06,289 lbs./131,1 kg.,0,BOS
