playerid,name,position,born,height,weight,yearspro,team
391,Jason Collins,Center - Forward,1978-12-2,7-0/2_13,255 lbs./115_7 kg.,6,NJN
392,Nick Collison,Center - Forward,1980-10-26,6-1/ 2_08,255 lbs./115_7 kg.,3,SEA
393,Brian Cook,Forward,1980-12-4,6-9/2_06,250 lbs./113_4 kg.,4,LAL
394,Daequan Cook,Guard,1987-4-28,6-5/1_96,205 lbs./93_0  kg.,0,MIA
395,Jamal Crawford,Guard,1980-3-20,6-5/1_96,200 lbs./90_7  kg.,7,NYK
396,Javaris Crittenton,Guard,1987-12-31,6-5/1_96,200 lbs./90_7  kg.,0,LAL
397,Austin Croshere,Forward,1975-5-1,6-1/ 2_08,235 lbs./106_6 kg.,10,GSW
398,Eddy Curry,Center - Forward,1982-12-5,6-1/ 2_11,285 lbs./129_3 kg.,6,NYK
399,Samuel Dalembert,Center,1981-5-10,6-1/ 2_11,250 lbs./113_4 kg.,5,PHI
400,Antonio Daniels,Guard,1975-3-19,6-4/1_93,205 lbs./93_0  kg.,10,WAS
401,Marquis Daniels,Guard,1981-1-7,6-6/1_98,200 lbs./90_7  kg.,4,IND
402,Baron Davis,Guard,1979-4-13,6-3/1_91,215 lbs./97_5  kg.,8,GSW
403,Glen Davis,Forward,1986-1-1,6-9/2_06,289 lbs./131_1 kg.,0,BOS
404,Paul Davis,Center,1984-7-21,6-1/ 2_11,270 lbs./122_5 kg.,1,LAC
405,Ricky Davis,Guard,1979-9-23,6-7/2_01,205 lbs./93_0  kg.,9,MIA
406,Carlos Delfino,Guard,1982-8-29,6-6/1_98,230 lbs./104_3 kg.,3,TOR
407,Luol Deng,Forward - Guard,1985-4-16,6-9/2_06,220 lbs./99_8  kg.,3,CHI
408,Boris Diaw,Forward,1982-4-16,6-8/2_03,235 lbs./106_6 kg.,4,PHX
409,Yakhouba Diawara,Guard,1982-8-29,6-7/2_01,225 lbs./102_1 kg.,1,DEN
410,Dan Dickau,Guard,1978-9-16,6-0/1_83,180 lbs./81_6  kg.,5,LAC
411,Travis Diener,Guard,1982-3-1,6-1/1_85,175 lbs./79_4  kg.,2,IND
