playerid,name,position,born,height,weight,yearspro,team
604,Kareem Rush,Guard,1980-10-30,6-6/1_98,215 lbs./97_5  kg.,4,IND
605,John Salmons,Forward,1979-12-12,6-6/1_98,207 lbs./93_9  kg.,5,SAC
606,Brian Scalabrine,Forward - Center,1978-3-18,6-9/2_06,235 lbs./106_6 kg.,6,BOS
607,Luis Scola,Forward,1980-4-30,6-9/2_06,245 lbs./111_1 kg.,0,HOU
608,Thabo Sefolosha,Guard,1984-5-2,6-7/2_01,215 lbs./97_5  kg.,1,CHI
609,Mouhamed Sene,Center,1986-5-12,6-1/ 2_11,230 lbs./104_3 kg.,1,SEA
610,Bobby Simmons,Forward,1980-6-2,6-6/1_98,230 lbs./104_3 kg.,5,MIL
611,Courtney Sims,Center,1983-10-21,6-1/ 2_11,245 lbs./111_1 kg.,0,IND
612,Brian Skinner,Forward - Center,1976-5-19,6-9/2_06,255 lbs./115_7 kg.,9,PHX
613,Craig Smith,Forward,1983-11-10,6-8/2_03,250 lbs./113_4 kg.,1,MIN
614,Jason Smith,Forward,1986-3-2,7-0/2_13,240 lbs./108_9 kg.,0,PHI
615,Joe Smith,Forward,1975-7-26,6-1/ 2_08,225 lbs./102_1 kg.,12,CHI
616,Josh Smith,Forward,1985-12-5,6-9/2_06,235 lbs./106_6 kg.,3,ATL
617,Darius Songaila,Forward,1978-2-14,6-9/2_06,248 lbs./112_5 kg.,4,WAS
618,Jerry Stackhouse,Forward - Guard,1974-11-5,6-6/1_98,218 lbs./98_9  kg.,12,DAL
619,DeShawn Stevenson,Guard,1981-4-3,6-5/1_96,218 lbs./98_9  kg.,7,WAS
620,Peja Stojakovic,Forward - Guard,1977-6-9,6-1/ 2_08,229 lbs./103_9 kg.,9,NOH
621,Damon Stoudamire,Guard,1973-9-3,5-1/ 1_78,171 lbs./77_6  kg.,12,MEM
622,Amare Stoudemire,Center,1982-11-16,6-1/ 2_08,249 lbs./112_9 kg.,5,PHX
623,D.J. Strawberry,Guard,1985-6-15,6-5/1_96,201 lbs./91_2  kg.,0,PHX
624,Robert Swift,Center,1985-12-3,7-1/2_16,245 lbs./111_1 kg.,2,SEA
625,Stromile Swift,Center,1979-11-21,6-1/ 2_08,220 lbs./99_8  kg.,7,MEM
626,Wally Szczerbiak,Forward,1977-3-5,6-7/2_01,245 lbs./111_1 kg.,8,SEA
627,Sebastian Telfair,Guard,1985-6-9,6-0/1_83,175 lbs./79_4  kg.,3,MIN
628,Jason Terry,Guard,1977-9-15,6-2/1_88,180 lbs./81_6  kg.,8,DAL
629,Kenny Thomas,Forward,1977-7-25,6-7/2_01,245 lbs./111_1 kg.,8,SAC
630,Tim Thomas,Forward,1977-2-26,6-1/ 2_08,240 lbs./108_9 kg.,10,LAC
631,Tyrus Thomas,Forward,1986-8-17,6-8/2_03,215 lbs./97_5  kg.,1,CHI
632,Al Thornton,Forward,1983-12-7,6-8/2_03,220 lbs./99_8  kg.,0,LAC
633,Jamaal Tinsley,Guard,1978-2-28,6-3/1_91,185 lbs./83_9  kg.,6,IND
634,Ronny Turiaf,Forward,1983-1-13,6-1/ 2_08,250 lbs./113_4 kg.,2,LAL
635,Hedo Turkoglu,Forward,1979-3-19,6-1/ 2_08,220 lbs./99_8  kg.,7,ORL
636,Ime Udoka,Forward,1977-8-9,6-5/1_96,220 lbs./99_8  kg.,3,SAS
637,Charlie Villanueva,Forward,1984-8-24,6-1/ 2_11,232 lbs./105_2 kg.,2,MIL
638,Jake Voskuhl,Center,1977-11-1,6-1/ 2_11,255 lbs./115_7 kg.,7,MIL
639,Sasha Vujacic,Guard,1984-3-8,6-7/2_01,205 lbs./93_0  kg.,3,LAL
640,Von Wafer,Guard,1985-7-21,6-5/1_96,210 lbs./95_3  kg.,2,DEN
641,Antoine Walker,Forward,1976-8-12,6-9/2_06,245 lbs./111_1 kg.,11,MIN
642,Ben Wallace,Center,1974-9-10,6-9/2_06,240 lbs./108_9 kg.,11,CHI
643,Gerald Wallace,Forward,1982-7-23,6-7/2_01,220 lbs./99_8  kg.,6,CHA
644,Rasheed Wallace,Forward - Center,1974-9-17,6-1/ 2_11,230 lbs./104_3 kg.,12,DET
645,Luke Walton,Forward,1980-3-28,6-8/2_03,235 lbs./106_6 kg.,4,LAL
646,Hakim Warrick,Forward,1982-7-8,6-9/2_06,215 lbs./97_5  kg.,2,MEM
647,Darius Washington,Guard,1985-12-6,6-2/1_88,195 lbs./88_5  kg.,0,SAS
648,Darryl Watkins,Center,1984-11-8,6-1/ 2_11,258 lbs./117_0 kg.,0,SAC
649,Earl Watson,Guard,1979-6-12,6-1/1_85,185 lbs./83_9  kg.,6,SEA
650,Martell Webster,Forward - Guard,1986-12-4,6-7/2_01,229 lbs./103_9 kg.,2,POR
651,Bonzi Wells,Guard - Forward,1976-9-28,6-5/1_96,210 lbs./95_3  kg.,9,HOU
652,David West,Forward,1980-8-29,6-9/2_06,240 lbs./108_9 kg.,4,NOH
653,Delonte West,Guard,1983-1-26,6-3/1_91,180 lbs./81_6  kg.,3,SEA
654,Mario West,Guard,1984-6-19,6-5/1_96,210 lbs./95_3  kg.,0,ATL
655,Chris Wilcox,Forward,1982-9-3,6-1/ 2_08,235 lbs./106_6 kg.,5,SEA
656,Damien Wilkins,Guard - Forward,1980-1-11,6-6/1_98,225 lbs./102_1 kg.,3,SEA
657,Mike Wilks,Guard,1979-5-7,5-1/ 1_78,180 lbs./81_6  kg.,5,DEN
658,Deron Williams,Guard,1984-6-26,6-3/1_91,205 lbs./93_0  kg.,2,UTA
659,Jason Williams,Guard,1975-11-18,6-1/1_85,180 lbs./81_6  kg.,9,MIA
660,Louis Williams,Guard,1986-10-27,6-2/1_88,175 lbs./79_4  kg.,2,PHI
661,Marvin Williams,Forward,1986-6-19,6-9/2_06,230 lbs./104_3 kg.,2,ATL
662,Maurice Williams,Guard,1982-12-19,6-1/1_85,185 lbs./83_9  kg.,4,MIL
663,Sean Williams,Forward - Center,1986-9-13,6-1/ 2_08,235 lbs./106_6 kg.,0,NJN
664,Shelden Williams,Forward,1983-10-21,6-9/2_06,250 lbs./113_4 kg.,1,ATL
665,Antoine Wright,Forward - Guard,1984-2-6,6-7/2_01,215 lbs./97_5  kg.,2,NJN
666,Dorell Wright,Forward,1985-12-2,6-9/2_06,210 lbs./95_3  kg.,3,MIA
667,Julian Wright,Forward,1987-5-20,6-8/2_03,225 lbs./102_1 kg.,0,NOH
668,Yao Ming,Center,1980-9-12,7-6/2_29,310 lbs./140_6 kg.,5,HOU
669,Yi Jianlian,Forward,1987-10-27,7-0/2_13,238 lbs./108_0 kg.,0,MIL
670,Nick Young,Guard,1985-6-1,6-6/1_98,200 lbs./90_7  kg.,0,WAS
